Date,Open,High,Low,Close,Volume
23/05/2014 16:56:00,"56,02","56,02","55,58","55,58",2420
26/05/2014 16:56:00,"55,84","56,07","55,81","56,07",1340
27/05/2014 16:56:00,"55,9","55,9","55,28","55,28",530
28/05/2014 16:56:00,"55,01","56,02","55,01","56,02",3100
29/05/2014 16:56:00,"56,1","56,1","55,39","55,39",1920
30/05/2014 16:56:00,"54,99","54,99","54,7","54,7",1100
02/06/2014 16:56:00,"54,7","55,3","54,7","55,11",3000
03/06/2014 16:56:00,"55,05","55,36","55,05","55,36",1140
04/06/2014 16:56:00,"55,36","55,36","55,14","55,2",1160
05/06/2014 16:56:00,"55,57","55,62",55,55,1410
06/06/2014 16:56:00,"56,2","56,45","56,2","56,36",1420
09/06/2014 16:56:00,"56,56","57,57","56,56","57,57",2430
10/06/2014 16:56:00,"57,54","57,85","57,39","57,69",4600
11/06/2014 16:56:00,58,"58,5","57,99","58,25",9140
13/06/2014 16:56:00,"57,6","58,05","57,6","57,76",3870
16/06/2014 16:56:00,"56,01","57,83","56,01","57,71",2570
17/06/2014 16:56:00,"57,4","57,4","57,4","57,4",300
18/06/2014 16:56:00,"57,43",58,"57,09",58,3490
20/06/2014 16:56:00,"57,88","57,88","57,74","57,76",510
23/06/2014 16:56:00,"56,8","57,36","56,8","57,36",2080
24/06/2014 16:56:00,"57,27","57,88","57,27","57,46",2220
25/06/2014 16:56:00,"57,64","57,64","56,7","56,72",1640
26/06/2014 16:56:00,56,"56,85",56,"56,82",920
27/06/2014 16:56:00,"56,42","56,42","56,42","56,42",1140
30/06/2014 16:56:00,"56,19","56,26","55,98","56,26",910
01/07/2014 16:56:00,"56,3","56,3","56,14","56,24",980
02/07/2014 16:56:00,"56,25","56,25","55,79","55,8",1980
03/07/2014 16:56:00,"56,32","56,8","56,07","56,08",6310
04/07/2014 16:56:00,"56,74","56,9","56,74","56,9",330
07/07/2014 16:56:00,"56,81","56,85","56,81","56,85",670
10/07/2014 16:56:00,"56,85","57,5","56,85","57,43",7210
11/07/2014 16:56:00,"57,41","57,8","57,41","57,8",1130
14/07/2014 16:56:00,"57,93","58,6","57,93","58,6",8840
15/07/2014 16:56:00,"58,8","58,9","58,79","58,79",660
16/07/2014 16:56:00,"58,8",59,"58,34","58,34",2690
17/07/2014 16:56:00,"58,2","58,5","58,2","58,3",1730
18/07/2014 16:56:00,"58,9","60,2","58,9","59,75",7680
21/07/2014 16:56:00,"59,69","60,44","58,61","60,44",4160
22/07/2014 16:56:00,"60,41","60,7","60,11","60,7",5080
23/07/2014 16:56:00,"60,2","60,26","59,98","60,26",1600
24/07/2014 16:56:00,"60,36","60,86","60,25","60,86",3470
25/07/2014 16:56:00,"60,55","60,55","60,43","60,43",850
28/07/2014 16:56:00,"60,45","60,76","60,45","60,53",1650
29/07/2014 16:56:00,"60,24","60,5",60,60,880
30/07/2014 16:56:00,"60,14","60,29","59,68","59,83",2020
31/07/2014 16:56:00,"58,75","58,75","58,48","58,74",21510
01/08/2014 16:56:00,"58,71","58,74","58,52","58,73",1310
04/08/2014 16:56:00,"58,58","59,29","58,58","59,29",1080
05/08/2014 16:56:00,"59,58","59,58",59,59,4210
06/08/2014 16:56:00,"58,4","59,11","58,4","59,05",930
07/08/2014 16:56:00,"59,29","59,35","59,2","59,2",4100
08/08/2014 16:56:00,"58,38","58,38","58,25","58,35",500
11/08/2014 16:56:00,"58,25","59,42","58,25","59,42",3060
12/08/2014 16:56:00,59,"59,52","58,35","58,35",6810
13/08/2014 16:56:00,"59,44","59,44","59,23","59,23",1250
14/08/2014 16:56:00,"59,16","59,16","59,16","59,16",640
15/08/2014 16:56:00,"59,6",60,"59,6",60,3900
18/08/2014 16:56:00,"60,29","60,7","60,26","60,7",3360
19/08/2014 16:56:00,"60,61","61,49","60,59","61,49",9550
20/08/2014 16:56:00,"61,6","61,75","61,45","61,7",1980
21/08/2014 16:56:00,62,"62,09","61,77","62,06",3400
22/08/2014 16:56:00,"61,62","61,64","61,46","61,64",1510
25/08/2014 16:56:00,62,"62,85","61,94","62,85",18100
26/08/2014 16:56:00,63,"63,12","62,63","63,05",2640
27/08/2014 16:56:00,"63,55","64,1","63,51",64,2920
28/08/2014 16:56:00,"63,27","63,49","63,27","63,49",1000
29/08/2014 16:56:00,"63,47","64,52","63,47","64,52",4160
01/09/2014 16:56:00,"64,95","65,11","64,48","64,48",2520
02/09/2014 16:56:00,"64,02",65,"64,02",65,2100
03/09/2014 16:56:00,65,"65,02","64,4","64,62",540
04/09/2014 16:56:00,"64,84","64,84","64,24","64,24",720
05/09/2014 16:56:00,"64,21","64,21","64,03","64,16",2010
08/09/2014 16:56:00,64,"64,7","63,9","64,4",660
09/09/2014 16:56:00,"62,72","62,72","62,45","62,45",1650
10/09/2014 16:56:00,"62,06","62,06","61,62","61,75",1300
11/09/2014 16:56:00,"62,23","62,43","62,13","62,27",8380
12/09/2014 16:56:00,"60,67","60,9","60,67","60,9",500
15/09/2014 16:56:00,"60,99","61,8","60,99","61,8",1700
16/09/2014 16:56:00,62,64,62,"63,59",2200
17/09/2014 16:56:00,"63,48","63,48","63,39","63,39",1510
19/09/2014 16:56:00,"62,03","62,03","61,4","61,62",1570
22/09/2014 16:56:00,"60,54","60,54","60,54","60,54",130
23/09/2014 16:56:00,"60,96","60,96","60,44","60,44",700
25/09/2014 16:56:00,"60,5","60,5","59,7","59,85",48460
26/09/2014 16:56:00,"60,72","61,42","60,72","61,34",30100
30/09/2014 16:56:00,58,"58,34","57,01","58,32",1870
01/10/2014 16:56:00,"57,43","57,6","57,1","57,1",1620
02/10/2014 16:56:00,"57,4","57,6","57,07","57,6",630
03/10/2014 16:56:00,"58,16","58,26","58,16","58,26",860
06/10/2014 16:56:00,"62,47","62,47","61,39","61,43",850
07/10/2014 16:56:00,"61,45","61,45","61,37","61,37",300
08/10/2014 16:56:00,"61,85","61,85","60,48","60,55",1080
09/10/2014 16:56:00,"59,01","61,64","59,01","61,6",14630
10/10/2014 16:56:00,"59,94","59,94","59,94","59,94",2000
13/10/2014 16:56:00,"62,25","62,25","62,25","62,25",20
14/10/2014 16:56:00,"61,19",62,"61,19",62,200
16/10/2014 16:56:00,"58,9","58,9","58,9","58,9",16000
17/10/2014 16:56:00,"60,21","60,21","60,21","60,21",30
20/10/2014 16:56:00,"59,48","59,48","59,4","59,4",700
21/10/2014 16:56:00,"56,84","56,84","56,84","56,84",1160
22/10/2014 16:56:00,"57,17","57,17","57,17","57,17",530
23/10/2014 16:56:00,"55,52","55,6","55,52","55,6",160
24/10/2014 16:56:00,57,"57,48",54,54,1820
27/10/2014 16:56:00,"51,9","55,39","51,9","55,29",4000
28/10/2014 16:56:00,"56,96","57,2","56,96","57,2",410
29/10/2014 16:56:00,"56,9","56,9","56,9","56,9",500
30/10/2014 16:56:00,"57,18","58,07","57,18","58,07",1240
31/10/2014 16:56:00,"58,34","58,34","58,34","58,34",110
03/11/2014 16:56:00,"58,97","58,97","58,82","58,82",1450
04/11/2014 16:56:00,60,"60,01","59,6","60,01",810
05/11/2014 16:56:00,"59,85","59,87","59,85","59,87",5500
06/11/2014 16:56:00,"58,43","58,68","58,43","58,65",920
10/11/2014 16:56:00,"58,94","58,94","58,87","58,87",400
11/11/2014 16:56:00,"58,55","58,55","58,25","58,25",80
12/11/2014 16:56:00,"59,2","59,25","59,2","59,25",580
13/11/2014 16:56:00,"59,25","59,4","59,07","59,07",560
14/11/2014 16:56:00,"57,29","57,29",57,57,1510
17/11/2014 16:56:00,"57,83","57,83","56,6","56,6",350
18/11/2014 16:56:00,"58,72","58,72","58,72","58,72",2700
19/11/2014 16:56:00,"60,02","60,42","59,58","60,42",4370
21/11/2014 16:56:00,"61,75",63,"61,55",63,9130
24/11/2014 16:56:00,"63,35","63,35","61,41","62,68",5220
26/11/2014 16:56:00,"63,08","63,16","62,68","62,72",1060
27/11/2014 16:56:00,"62,97","62,97","62,19","62,19",2020
28/11/2014 16:56:00,"62,7","62,8","62,4","62,44",270
01/12/2014 16:56:00,"59,43","59,44","59,43","59,44",680
02/12/2014 16:56:00,59,"59,2","58,46","58,46",100
03/12/2014 16:56:00,59,59,59,59,930
04/12/2014 16:56:00,"58,34","58,34","58,34","58,34",300
05/12/2014 16:56:00,"58,72","58,72","58,72","58,72",80
08/12/2014 16:56:00,"58,8","58,8","57,35","57,35",1300
10/12/2014 16:56:00,"56,74","56,76","56,74","56,76",2400
11/12/2014 16:56:00,"56,38","56,38","56,38","56,38",500
12/12/2014 16:56:00,"56,48","56,48","55,29","55,29",1510
16/12/2014 16:56:00,"53,89","53,89","53,89","53,89",500
17/12/2014 16:56:00,"55,53","56,61","55,53","56,61",2740
18/12/2014 16:56:00,"56,36","56,36","56,08","56,08",520
19/12/2014 16:56:00,"56,71","56,73","56,71","56,73",800
22/12/2014 16:56:00,"56,96","56,96","56,96","56,96",670
23/12/2014 16:56:00,"57,88","57,88","57,67","57,67",560
30/12/2014 16:56:00,"57,77","57,77","57,77","57,77",10
05/01/2015 16:56:00,"55,42","55,66","55,42","55,66",1430
07/01/2015 16:56:00,"58,84","58,84","58,84","58,84",500
08/01/2015 16:56:00,"57,93",58,"57,93",58,700
12/01/2015 16:56:00,"56,63","56,63","56,56","56,6",690
13/01/2015 16:56:00,"57,07","57,07","56,91","56,91",1000
14/01/2015 16:56:00,"56,6","56,6","56,44","56,44",249300
15/01/2015 16:56:00,56,"57,61",56,"57,56",51010
16/01/2015 16:56:00,"57,16","57,45","57,16","57,45",520
19/01/2015 16:56:00,"57,45","57,45","57,1","57,1",1070
21/01/2015 16:56:00,"56,66","57,81","56,64","57,65",2180
22/01/2015 16:56:00,"58,68","58,68","58,68","58,68",500
23/01/2015 16:56:00,"58,68","58,68","58,68","58,68",510
26/01/2015 16:56:00,"56,75","57,27","56,75","57,27",1140
27/01/2015 16:56:00,"56,98","57,27","56,98","57,27",530
28/01/2015 16:56:00,"56,69","57,34","56,6","57,34",160
30/01/2015 16:56:00,"56,05","56,05","56,03","56,03",1800
02/02/2015 16:56:00,"56,65","56,65","56,65","56,65",500
03/02/2015 16:56:00,"57,9","57,98","57,9","57,98",700
04/02/2015 16:56:00,"58,02","58,6","58,02","58,6",70
05/02/2015 16:56:00,"58,26","58,91","58,26","58,73",2260
06/02/2015 16:56:00,"58,2","58,2","58,17","58,2",1300
09/02/2015 16:56:00,"58,83","58,97","58,83","58,97",1500
10/02/2015 16:56:00,"59,1","59,15","58,57","58,57",160
