Date;Open;High;Low;Close;Adj Close;Volume
18/09/2012;54.02;54.02;54.02;54.02;54.02;0
19/09/2012;54.040001;54.040001;54.040001;54.040001;54.040001;0
20/09/2012;53.91;53.91;53.91;53.91;53.91;0
21/09/2012;53.849998;53.849998;53.849998;53.849998;53.849998;0
24/09/2012;54.080002;54.080002;54.080002;54.080002;54.080002;0
25/09/2012;52.5;52.5;52.5;52.5;52.5;0
26/09/2012;52.419998;52.419998;52.419998;52.419998;52.419998;0
27/09/2012;52.380001;52.380001;52.380001;52.380001;52.380001;0
28/09/2012;51.5;51.5;51.5;51.5;51.5;0
01/10/2012;52.029999;52.029999;52.029999;52.029999;52.029999;0
02/10/2012;51.990002;51.990002;51.990002;51.990002;51.990002;0
03/10/2012;51.389999;51.389999;51.389999;51.389999;51.389999;0
04/10/2012;51.639999;51.639999;51.639999;51.639999;51.639999;0
05/10/2012;52;52;52;52;52;0
08/10/2012;52.41;52.41;52.41;52.41;52.41;0
09/10/2012;51.75;51.75;51.75;51.75;51.75;0
10/10/2012;51.360001;51.360001;51.360001;51.360001;51.360001;0
11/10/2012;51.919998;51.919998;51.919998;51.919998;51.919998;0
15/10/2012;52.09;52.09;52.09;52.09;52.09;0
16/10/2012;52.43;52.43;52.43;52.43;52.43;0
17/10/2012;52.66;52.66;52.66;52.66;52.66;0
18/10/2012;52.540001;52.540001;52.540001;52.540001;52.540001;0
19/10/2012;52.080002;52.080002;52.080002;52.080002;52.080002;0
22/10/2012;51.779999;51.779999;51.779999;51.779999;51.779999;0
23/10/2012;50.84;50.84;50.84;50.84;50.84;0
24/10/2012;50.830002;50.830002;50.830002;50.830002;50.830002;0
25/10/2012;51.549999;51.549999;51.549999;51.549999;51.549999;0
26/10/2012;50.970001;51.150002;50.700001;50.700001;50.700001;3580
29/10/2012;50.349998;51.5;50.310001;51.5;51.5;5090
30/10/2012;51.5;51.700001;51.279999;51.700001;51.700001;6390
31/10/2012;51.32;51.32;51.32;51.32;51.32;0
01/11/2012;51.75;51.779999;50.950001;51.080002;51.080002;4210
05/11/2012;52.549999;52.549999;52.549999;52.549999;52.549999;0
06/11/2012;53.220001;53.220001;53.220001;53.220001;53.220001;0
07/11/2012;52.540001;52.540001;52.540001;52.540001;52.540001;0
08/11/2012;51.75;51.75;51.75;51.75;51.75;0
09/11/2012;51.580002;51.580002;51.580002;51.580002;51.580002;0
12/11/2012;51.299999;51.84;51.049999;51.75;51.75;195420
13/11/2012;52.200001;52.200001;52.200001;52.200001;52.200001;0
14/11/2012;51.610001;51.610001;51.610001;51.610001;51.610001;0
16/11/2012;51.450001;51.450001;51.450001;51.450001;51.450001;0
19/11/2012;52.259998;52.259998;52.259998;52.259998;52.259998;0
21/11/2012;52.650002;52.650002;52.650002;52.650002;52.650002;0
22/11/2012;52.650002;52.75;52.400002;52.75;52.75;312700
23/11/2012;52.400002;53.580002;52.400002;53.580002;53.580002;30720
26/11/2012;53.18;53.299999;52.529999;53.299999;53.299999;25850
27/11/2012;53;53.23;52.5;52.669998;52.669998;4800
28/11/2012;52.880001;52.880001;52.880001;52.880001;52.880001;0
29/11/2012;53.599998;53.599998;53.599998;53.599998;53.599998;0
30/11/2012;53.259998;54.009998;52.900002;53.869999;53.869999;22400
03/12/2012;54.279999;54.490002;53.060001;54.490002;54.490002;26580
04/12/2012;53.77;53.77;53.77;53.77;53.77;0
05/12/2012;53.360001;53.950001;53.360001;53.830002;53.830002;14930
06/12/2012;52.900002;53.900002;52.900002;53.900002;53.900002;10270
07/12/2012;52.400002;54.200001;52.220001;54.080002;54.080002;22280
10/12/2012;53.790001;54.650002;53.400002;54.650002;54.650002;25820
11/12/2012;54.650002;54.990002;54;54.990002;54.990002;17070
12/12/2012;54.459999;55.02;54.099998;54.970001;54.970001;18110
13/12/2012;54.369999;55.299999;54.299999;55.040001;55.040001;17450
14/12/2012;55;55.150002;54;54;54;16630
17/12/2012;53.41;55.299999;53.41;55.299999;55.299999;31410
18/12/2012;54.93;55.849998;54.93;55.849998;55.849998;31670
19/12/2012;55.040001;56.439999;55.040001;56.439999;56.439999;17240
20/12/2012;55.91;56.400002;55.59;56.400002;56.400002;9050
21/12/2012;54.75;56.5;54.75;56.5;56.5;9940
26/12/2012;55.799999;56.5;55.799999;56.5;56.5;7800
27/12/2012;56.259998;56.380001;55.970001;56.049999;56.049999;2890
28/12/2012;55.389999;56.5;55.389999;56.5;56.5;77860
02/01/2013;56.130001;57.84;56.130001;57.610001;57.610001;121940
03/01/2013;57.5;58.43;57.5;58.299999;58.299999;17120
04/01/2013;58.259998;58.259998;57.59;57.810001;57.810001;7240
07/01/2013;57.360001;57.889999;57.209999;57.32;57.32;8870
08/01/2013;57.27;57.630001;57.130001;57.200001;57.200001;8290
09/01/2013;57.150002;57.889999;56.150002;57.889999;57.889999;23990
10/01/2013;57.900002;58;57.52;58;58;9180
11/01/2013;57.5;57.610001;57.09;57.540001;57.540001;10300
14/01/2013;57.419998;57.990002;57.419998;57.990002;57.990002;8350
15/01/2013;57.419998;57.990002;57.34;57.509998;57.509998;4870
16/01/2013;57.060001;58;57.060001;58;58;7810
17/01/2013;57.830002;58.650002;57.540001;58.650002;58.650002;17550
18/01/2013;58.009998;58.5;57.740002;58.490002;58.490002;14030
21/01/2013;57.810001;58.419998;57.73;58.419998;58.419998;9960
22/01/2013;58.009998;58.59;57.950001;58.419998;58.419998;17100
23/01/2013;58.27;58.549999;58.189999;58.5;58.5;13380
24/01/2013;58.369999;58.59;57.950001;57.950001;57.950001;6590
28/01/2013;57.68;57.720001;56.619999;56.880001;56.880001;414260
29/01/2013;56.5;57.400002;56.5;57.400002;57.400002;27810
30/01/2013;56.91;56.91;56.529999;56.720001;56.720001;7110
31/01/2013;56.330002;57.299999;55.59;57.299999;57.299999;18540
01/02/2013;57.330002;57.599998;57.16;57.5;57.5;7750
04/02/2013;56.450001;57.130001;56.450001;57;57;8460
