Date,Close
04/02/2010,63934
05/02/2010,62762
08/02/2010,63153
09/02/2010,64718
10/02/2010,65051
11/02/2010,66128
12/02/2010,65854
17/02/2010,67284
18/02/2010,67836
19/02/2010,67597
22/02/2010,67184
23/02/2010,66108
24/02/2010,65794
25/02/2010,66121
26/02/2010,66503
01/03/2010,67227
02/03/2010,67779
03/03/2010,67641
04/03/2010,67814
05/03/2010,68846
08/03/2010,68575
09/03/2010,69576
10/03/2010,69979
11/03/2010,69884
12/03/2010,69341
15/03/2010,69023
17/03/2010,69723
18/03/2010,69697
19/03/2010,68828
22/03/2010,69041
23/03/2010,69386
24/03/2010,68913
25/03/2010,68441
26/03/2010,68682
29/03/2010,69939
30/03/2010,69959
31/03/2010,70371
01/04/2010,71136
05/04/2010,71289
06/04/2010,71095
07/04/2010,70792
09/04/2010,71417
12/04/2010,70614
13/04/2010,70792
14/04/2010,71034
15/04/2010,70524
16/04/2010,69421
19/04/2010,69097
20/04/2010,69318
22/04/2010,69386
23/04/2010,69509
26/04/2010,68871
27/04/2010,66511
28/04/2010,66655
29/04/2010,67978
30/04/2010,67529
04/05/2010,64869
05/05/2010,64914
06/05/2010,63414
07/05/2010,62870
10/05/2010,65452
11/05/2010,64424
12/05/2010,65223
13/05/2010,64788
14/05/2010,63412
17/05/2010,62866
18/05/2010,60841
19/05/2010,59689
20/05/2010,58192
21/05/2010,60259
24/05/2010,59915
25/05/2010,59184
26/05/2010,60190
27/05/2010,62091
28/05/2010,61946
31/05/2010,63046
01/06/2010,61840
02/06/2010,62942
04/06/2010,61675
07/06/2010,61182
08/06/2010,61793
09/06/2010,61478
10/06/2010,63048
11/06/2010,63605
14/06/2010,63532
15/06/2010,64442
16/06/2010,64750
17/06/2010,64540
18/06/2010,64437
21/06/2010,64441
22/06/2010,64810
23/06/2010,65160
24/06/2010,63936
28/06/2010,64225
29/06/2010,61977
30/06/2010,60935
01/07/2010,61236
02/07/2010,61429
05/07/2010,60865
06/07/2010,62064
08/07/2010,63476
13/07/2010,63685
14/07/2010,63479
15/07/2010,63489
16/07/2010,62339
19/07/2010,63297
20/07/2010,64462
21/07/2010,64476
22/07/2010,65748
23/07/2010,66322
26/07/2010,66443
27/07/2010,66674
28/07/2010,66808
29/07/2010,66953
30/07/2010,67515
02/08/2010,68517
03/08/2010,67997
04/08/2010,68272
05/08/2010,68411
06/08/2010,68094
09/08/2010,67862
10/08/2010,67223
11/08/2010,65790
12/08/2010,65966
13/08/2010,66264
16/08/2010,66701
17/08/2010,67583
18/08/2010,67638
19/08/2010,66887
20/08/2010,66677
23/08/2010,65981
24/08/2010,65156
25/08/2010,64803
26/08/2010,63867
27/08/2010,65585
30/08/2010,64260
31/08/2010,65145
02/09/2010,66808
03/09/2010,66678
06/09/2010,66747
08/09/2010,66407
10/09/2010,66806
13/09/2010,68030
14/09/2010,67691
15/09/2010,68106
16/09/2010,67662
17/09/2010,67089
21/09/2010,67719
23/09/2010,68794
24/09/2010,68196
27/09/2010,68815
28/09/2010,69227
29/09/2010,69228
30/09/2010,69429
01/10/2010,70229
04/10/2010,70384
05/10/2010,71283
06/10/2010,70541
07/10/2010,69918
08/10/2010,70808
11/10/2010,70946
13/10/2010,71674
14/10/2010,71692
15/10/2010,71830
18/10/2010,71735
19/10/2010,69863
20/10/2010,70404
21/10/2010,69652
22/10/2010,69529
25/10/2010,69580
26/10/2010,70740
27/10/2010,70568
28/10/2010,70320
29/10/2010,70673
01/11/2010,71560
04/11/2010,72995
05/11/2010,72606
09/11/2010,71679
10/11/2010,71638
11/11/2010,71195
12/11/2010,70367
16/11/2010,69192
17/11/2010,69708
18/11/2010,70781
19/11/2010,70897
